Authors;Author(s) ID;Title;Year;Source title;Volume;Cited by;DOI;Link;Affiliations;Abstract;Author Keywords;Index Keywords;Publisher;PubMed ID;Document Type;Source;EID
Gharehbaghi A.--Babic A.;24558561800--7003397998;Deep Time Growing Neural Network vs Convolutional Neural Network for Intelligent Phonocardiography;2022;Studies in Health Technology and Informatics;295;3;10.3233/SHTI220772;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133237966&doi=10.3233%2fSHTI220772&partnerID=40&md5=f7da57f08425977871c80e00af2f4eb6;School of Information Technology, Halmstad University, Sweden--Department of Biomedical Engineering, Linköping University, Sweden--Department of Information Science and Media Studies, University of Bergen, Norway;This paper explores the capabilities of a sophisticated deep learning method, named Deep Time Growing Neural Network (DTGNN), and compares its possibilities against a generally well-known method, Convolutional Neural network (CNN). The comparison is performed by using time series of the heart sound signal, so-called Phonocardiography (PCG). The classification objective is to discriminate between healthy and patients with cardiac diseases by applying a deep machine learning method to PCGs. This approach which is called intelligent phonocardiography has received interest from the researchers toward the development of a smart stethoscope for decentralized diagnosis of heart disease. It is found that DTGNN associates further flexibility to the approach which enables the classifier to learn subtle contents of PCG, and meanwhile better copes with the complexities intrinsically that exist in the medical applications such as the imbalance training. The structural risk of the two methods is compared using the A-Test method. © 2022 The authors and IOS Press.;A-Test method--deep learning--Deep time growing neural network--heart sounds--intelligent phonocardiography;Heart Diseases--Heart Sounds--Humans--Machine Learning--Neural Networks, Computer--Phonocardiography--Cardiology--Convolution--Convolutional neural networks--Deep neural networks--Heart--Learning systems--Medical informatics--Phonocardiography--Testing--A-test method--Convolutional neural network--Deep learning--Deep time growing neural network--Heart sounds--Intelligent phonocardiography--Learning methods--Neural-networks--Test method--Times series--diagnostic imaging--heart disease--heart sound--human--machine learning--phonocardiography--Medical applications;IOS Press BV;35773918;Conference paper;Scopus;2-s2.0-85133237966
Ayon S.I.--Islam M.M.--Hossain M.R.;57208015273--57221082552--57219361455;Coronary Artery Heart Disease Prediction: A Comparative Study of Computational Intelligence Techniques;2022;IETE Journal of Research;68;90;10.1080/03772063.2020.1713916;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078407806&doi=10.1080%2f03772063.2020.1713916&partnerID=40&md5=1f640f0bca39f5e6689e387de77ffff0;Department of Computer Science and Engineering, Khulna University of Engineering & Technology, Khulna, Bangladesh--School of Engineering and Technology, Central Queensland University, Rockhampton, Australia;Diseases is an unusual circumstance that affects single or more parts of a human’s body. Because of lifestyle and patrimonial, different kinds of disease are increasing day by day. Among all those diseases, heart disease turns out to be the most common disease and the impact of this ailment is dangerous than all other diseases. In this paper, we compared a number of computational intelligence techniques for the prediction of coronary artery heart disease. Seven computational intelligence techniques named as Logistic Regression (LR), Support Vector Machine (SVM), Deep Neural Network (DNN), Decision Tree (DT), Naïve Bayes (NB), Random Forest (RF), and K-Nearest Neighbor (K-NN) were applied and a comparative study was drawn. The performance of each technique was evaluated using Statlog and Cleveland heart disease dataset which are retrieved from the UCI machine learning repository database with several evaluation techniques. From the study, it can be carried out that the highest accuracy of 98.15% obtained by deep neural network with sensitivity and precision 98.67% and 98.01% respectively. The outcomes of the study were compared with the outcomes of the state of the art focusing on heart disease prediction that outperforms the previous study. © 2022 IETE.;Computational intelligence techniques--Coronary artery heart disease--Decision tree--Deep neural network--K-nearest neighbor--Logistic regression--Naïve Bayes--Random forest--Support vector machine;Cardiology--Decision trees--Deep neural networks--Forecasting--Heart--Intelligent computing--Logistic regression--Motion compensation--Nearest neighbor search--Neural networks--Random forests--Support vector machines--Support vector regression--Common disease--Comparative studies--Computational intelligence techniques--Coronary artery heart disease--Heart disease--K-nearest neighbors--State of the art--UCI machine learning repository--Diseases;Taylor and Francis Ltd.;;Article;Scopus;2-s2.0-85078407806
Haq I.U.--Chhatwal K.--Sanaka K.--Xu B.;57197565239--57578482900--57226880033--57192220806;Artificial Intelligence in Cardiovascular Medicine: Current Insights and Future Prospects;2022;Vascular Health and Risk Management;18;10;10.2147/VHRM.S279337;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134148791&doi=10.2147%2fVHRM.S279337&partnerID=40&md5=5009b9b003018676cafb84d5df7115b4;Department of Internal Medicine, Mayo Clinic, Rochester, 55905, MN, United States--Imperial College London School of Medicine, London, SW7 2AZ, United Kingdom--Emory University, Atlanta, 30322, GA, United States--Section of Cardiovascular Imaging, Robert and Suzanne Tomsich Department of Cardiovascular Medicine, Sydell and Arnold Miller Family Heart, Vascular and Thoracic Institute, Cleveland Clinic, Cleveland, 44195, OH, United States;Cardiovascular disease (CVD) represents a significant and increasing burden on healthcare systems. Artificial intelligence (AI) is a rapidly evolving transdisciplinary field employing machine learning (ML) techniques, which aim to simulate human intuition to offer cost-effective and scalable solutions to better manage CVD. ML algorithms are increasingly being developed and applied in various facets of cardiovascular medicine, including and not limited to heart failure, electrophysiology, valvular heart disease and coronary artery disease. Within heart failure, AI algorithms can augment diagnostic capabilities and clinical decision-making through automated cardiac measurements. Occult cardiac disease is increasingly being identified using ML from diagnostic data. Improved diagnostic and prognostic capabilities using ML algorithms are enhancing clinical care of patients with valvular heart disease and coronary artery disease. The growth of AI techniques is not without inherent challenges, most important of which is the need for greater external validation through multicenter, prospective clinical trials. © 2022 Haq et al.;artificial intelligence--cardiovascular medicine--machine learning--neural networks;Algorithms--Artificial Intelligence--Coronary Artery Disease--Heart Failure--Heart Valve Diseases--Humans--Multicenter Studies as Topic--Prospective Studies--acute coronary syndrome--artificial intelligence--cardiology--convolutional neural network--coronary artery calcification--deep learning--deep neural network--heart failure--heart failure with mid-range ejection fraction--heart failure with preserved ejection fraction--heart failure with reduced ejection fraction--human--hypertrophic cardiomyopathy--natural language processing--non ST segment elevation myocardial infarction--reinforcement learning (machine learning)--Review--semi supervised machine learning--supervised machine learning--unsupervised machine learning--valvular heart disease--algorithm--artificial intelligence--coronary artery disease--heart failure--multicenter study (topic)--prospective study--valvular heart disease;Dove Medical Press Ltd;35855754;Review;Scopus;2-s2.0-85134148791
Ardeti V.A.--Kolluru V.R.--Varghese G.T.--Patjoshi R.K.;57188759442--58656443400--57202780153--36601214400;An Outlier Detection and Feature Ranking based Ensemble Learning for ECG Analysis;2022;International Journal of Advanced Computer Science and Applications;13;2;10.14569/IJACSA.2022.0130686;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133403572&doi=10.14569%2fIJACSA.2022.0130686&partnerID=40&md5=fa547f377169949b1cfd676fe2b65059;Dept. of ECM, KoneruLakshmaiah Education Foundation Vaddeswaram, Andhra Pradesh, India--Dept. of EIE, St. Joseph’s College of Engineering and Technology, Kerala, Palai,Kottayam, India--Dept. of ECE, National Institute of Science and Technology Berhampur, Odisha, India;Automated classification of each heartbeat class from the ECG signal is important to diagnose cardiovascular diseases (CVDs) more quickly. ECG data acquired from the real-time or clinical databases contains exceptional values or extreme values called outliers. The separation and removal of outliers is very much useful for improving the data quality. The presence of outliers will influence the results of machine learning (ML) methods such as classification and regression. Outlier identification and removal plays a significant role in this area of research and is a part of signal denoising. Also, most of the traditional ECG-signal processing methods are facing the difficulty in finding the essential key features of recorded signal. In this work, an extreme outlier detection technique known as improved inter quartile range (IIQR) filtering method is used to find the outliers of the signal for the feature ranking process. In addition, an optimized random forest (ORF) based heterogenous ensemble classification model is proposed to improve the true positive and runtime on the ECG data. The classification of each heartbeat type is classified with majority voting technique. Ensemble learning and majority voting rule is used to enhance the accuracy of heart disease prediction. The proposed feature ranking based ORF ensemble classification model (LR + SVM + ORF + XGBoost + KNN) is evaluated on the MITBIH arrhythmia database and produces an overall accuracy of 99.45% which significantly outperforms the state-of-the-art methods such as, (LR + SVM + RF + XGBoost + KNN) with 96.17% accuracy, ensemble deep learning accuracy of 95.81% and ensemble SVM accuracy of 94.47%. © 2022. International Journal of Advanced Computer Science and Applications.All Rights Reserved.;Feature ranking--Improved inter quartile range--Majority voting--Optimized random forest--Outlier detection;Anomaly detection--Biomedical signal processing--Cardiology--Classification (of information)--Data handling--Deep learning--Diseases--Electrocardiography--Feature extraction--Random forests--Statistics--Support vector machines--ECG data--Ensemble classification--Ensemble learning--Feature ranking--Improved inter quartile range--Inter quartile ranges--Majority voting--Optimized random forest--Outlier Detection--Random forests--Decision trees;Science and Information Organization;;Article;Scopus;2-s2.0-85133403572
Rajeswari D.--Thangavel K.;58938943900--57193818715;Coronary artery disease classification from clinical heart disease features using deep neural network;2022;International Journal of Dynamical Systems and Differential Equations;12;0;10.1504/IJDSDE.2022.123413;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133188469&doi=10.1504%2fIJDSDE.2022.123413&partnerID=40&md5=9f89820e8160655c4603369e31a1ba87;Department of Computer Science, Periyar University, Salem, 636 011, India;Coronary artery disease (CAD) is the most dreadful clinical syndrome affecting a multitude of people globally and it increases the morbidity rate every year. Early detection of CAD is very important for appropriate treatment which can stop complications like heart failure. The clinical health data can effectively be used for the non-invasive detection of CAD. In this work, we employ deep neural network (DNN) for developing a heart disease prediction model. The proposed model has been tested on ZAlizadeh Sani dataset from UCI and the results show that the DNN classifier improves prediction accuracy significantly. The performance improvement of 75.7% using DNN architecture has been achieved when compared to K-nearest neighbour (KNN). © 2022 Inderscience Enterprises Ltd.. All rights reserved.;CAD--classification--coronary artery disease--data mining--deep learning--deep neural network--DNN--heart disease--KNN--machine learning;Cardiology--Classification (of information)--Computer aided diagnosis--Data mining--Diseases--Heart--Nearest neighbor search--Clinical syndromes--Coronary artery disease--Deep learning--Disease classification--Diseases features--Heart disease--K-near neighbor--Machine-learning--Nearest-neighbour--Deep neural networks;Inderscience Publishers;;Article;Scopus;2-s2.0-85133188469
Zheng H.--Sherazi S.W.A.--Son S.H.--Lee J.Y.;57206726862--57211454500--57651094400--55818539100;A deep neural network model for the prediction of major adverse cardiovascular event occurrences in patients with non-st-elevation myocardial infarction;2021;Frontiers in Artificial Intelligence and Applications;340;1;10.3233/FAIA210172;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119211728&doi=10.3233%2fFAIA210172&partnerID=40&md5=0fa7113ce7b18bb27aa263d5c7bfd74f;Department of Computer Science, Chungbuk National University, Cheongju, 28644, South Korea;Cardiovascular disease (CVD) is one of the major causes of death all over the world and the mortality rate is higher than other causes. Hence, we propose a novel deep neural network (DNN)-based prediction model for the major adverse cardiovascular event (MACE) occurrences in patients with non-ST-Elevation myocardial infarction (NSTEMI) to improve the prediction accuracy of CVD. The research contents are described as follows. First, for the experiment, we use the Korean Acute Myocardial Infarction Registry (KAMIR-NIH) dataset with 2 years follow-ups and then preprocess the extracted data, such as processing the missing values, solving the imbalance problem, and applying the normalization meth to scale all the datasets in the same range for the experiment. Then we design a DNN-based prognosis model for the occurrences of MACE in NSTEMI patients. Finally, we evaluate the proposed model's performance and compare it with several applied machine learning algorithms, such as logistic regression, K-Nearest Neighbors, decision tree, and support vector machine. The result shows that the performance of our proposed method outperformed other machine learning-based prediction models. © 2021 The authors and IOS Press.;Cardiovascular disease--Deep learning--Imbalanced data--Major adverse cardiovascular event--NSTEMI;Cardiology--Data handling--Decision trees--Diagnosis--Diseases--Forecasting--Learning algorithms--Learning systems--Nearest neighbor search--Neural network models--Support vector machines--Cardiovascular disease--Cardiovascular event--Deep learning--Imbalanced data--Major adverse cardiovascular event--Myocardial Infarction--Network-based--Neural network model--Non-ST-elevation myocardial infarction--Prediction modelling--Deep neural networks;IOS Press BV;;Conference paper;Scopus;2-s2.0-85119211728
Jothiaruna N.--Leema A.A.;57210373673--55630786400;Meta-Analysis to Prognosis Myocardial Infarction Using 12 Lead ECG;2022;Lecture Notes in Electrical Engineering;853;0;10.1007/978-981-16-9885-9_39;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127781209&doi=10.1007%2f978-981-16-9885-9_39&partnerID=40&md5=ef7cdf2ea96d19d2235995b71ac5698b;School of Information Technology and Engineering (SITE), Vellore Institute of Technology, Vellore, India;Cardiovascular disease is caused by heart or blood vessels. It creates immediate heart arrest or a blockage and leads to death. Nearly 70% of people are suffering from these diseases. One of the major diseases that affect the heart is myocardial infarction (MI). MI occurs when there is some damage to the heart muscle. There are various test measures for diagnosing myocardial infarction. A common way to diagnose heart diseases in the medical field is electrocardiogram (ECG). In diagnosing MI through ECG, the changes that occur in the ECG wave are ST-Elevation MI (STEMI), non-ST-elevation MI (NSTEMI), and left bundle branch block (LBBB). In this study, we discuss different classification methods for the diagnosis of MI. Before the classification of the diseases, preprocessing is a preliminary task to achieve accurate information. In comparison with KNN, SVM, and YOLOv3 algorithm, LSTM could give better classification results for the diagnosis of MI. In the future, our research can be carried out on automatic diagnosis of the diseases, by using current trends of deep learning models. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.;Cardiovascular--Classification--ECG--LBBB--Myocardial infarction--NSTEMI--Preprocessing--STEMI;Blood vessels--Cardiology--Classification (of information)--Computer aided diagnosis--Diseases--Heart--Long short-term memory--Support vector machines--Cardiovascular--Cardiovascular disease--Diagnosis of myocardial infarction--Heart arrest--Leave bundle branch block--Meta-analysis--Myocardial Infarction--Non-ST-elevation MI--Preprocessing--ST-elevation MI--Electrocardiography;Springer Science and Business Media Deutschland GmbH;;Conference paper;Scopus;2-s2.0-85127781209
Paixão G.M.M.--Santos B.C.--de Araujo R.M.--Ribeiro M.H.--de Moraes J.L.--Ribeiro A.L.;55053214800--57211487695--57468017800--56493989400--57202496227--57204577960;Machine Learning in Medicine: Review and Applicability;2022;Arquivos Brasileiros de Cardiologia;118;6;10.36660/abc.20200596;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125157341&doi=10.36660%2fabc.20200596&partnerID=40&md5=09086df3c177ffb498e6f4bf42787c40;Universidade Federal de Minas Gerais, MG, Belo Horizonte, Brazil--Universidade Federal do Ceará, CE, Sobral, Brazil;[No abstract available];Cardiology--Machine Learning--Medicine;Artificial Intelligence--Humans--Machine Learning--accuracy--artificial neural network--Bayesian network--cardiology--cardiovascular risk--computer assisted diagnosis--computer assisted tomography--decision tree--deep learning--diagnostic error--electrocardiogram--human--logistic regression analysis--machine learning--medicine--predictive value--prognosis--random forest--Review--supervised machine learning--support vector machine--unsupervised machine learning--artificial intelligence;Arquivos Brasileiros de Cardiologia;35195215;Review;Scopus;2-s2.0-85125157341
Shaker C.R.--Sidhartha A.--Praveena A.--Chrsity A.--Bharati B.;57741620200--57741461300--57190567908--57741150200--22133761400;An Analysis of Heart Disease Prediction using Machine Learning and Deep Learning Techniques;2022;2022 6th International Conference on Trends in Electronics and Informatics, ICOEI 2022 - Proceedings;;5;10.1109/ICOEI53556.2022.9776745;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131924329&doi=10.1109%2fICOEI53556.2022.9776745&partnerID=40&md5=17b9e47f5d12b855cfec9f09f2698dbc;Sathyabama Institute of Science and Technology, Dept. of CSE, Chennai, India;The significance of the heart as the body's most vital organ cannot be stressed. Heart disease is the leading cause of death worldwide. Heart failure (HF) is a main cause of death that must be successfully predicted (HF). Angiography, the gold standard for clinical diagnosis of HF, is expensive and can have catastrophic repercussions, according to research. In this scenario, machine learning and deep learning are applied. Machine learning and deep learning techniques can be used to forecast the whole range of hazards associated with this project. This dataset is created by combining previously available datasets. For your convenience, they are sorted into eleven distinct categories. This investigation would not be possible without this information. According to the findings, machine learning approaches exceeded deep learning in the diagnosis of cardiovascular diseases. PCA approach has been utilized to estimate the relative relevance of each of the dataset's 11 fields. When sample approaches are applied, accuracy and recall rates increased. According to the data, Random Forest Classifiers, Decision Tree Classifiers, and Naive Bayes algorithms surpass other MI algorithms. © 2022 IEEE.;Deep Learning--Feature selection--PCA--supervised learning;Clinical research--Decision trees--Deep learning--Diagnosis--Diseases--Heart--Learning algorithms--Causes of death--Clinical diagnosis--Deep learning--Features selection--Gold standards--Heart disease--Heart failure--Learning techniques--Machine-learning--PCA--Cardiology;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85131924329
Deepika R.--Srikaanth P.B.--Pitchai R.;57816810000--57201392094--57188562135;Early Detection of Heart Disease Using Deep Learning Model;2022;8th International Conference on Smart Structures and Systems, ICSSS 2022;;7;10.1109/ICSSS54381.2022.9782295;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132286776&doi=10.1109%2fICSSS54381.2022.9782295&partnerID=40&md5=dfe52e60ff86f4db5f9a380b53323c6b;Srm Institute of Science and Technology, Kattankulathur Technology, School of Computing, Tamilnadu, India--Srm Institute of Science and Technology, Department of Networking and Communications, Kattankulathur, India--B v Raju Institute of Technology, Department of Computer Science and Engineering, Narsapur, India;Identifying and detecting the early signs of diseases is difficult due to asymptomatic conditions. Detecting the signs early gives the patient a higher chance of surviving. There are several technologies to identify the heart diseases for timely treatment. So far, different techniques of machine learning is used to predict heart abnormalities. Machine learning models trained by large amounts of data in the healthcare field contain a lot of medical images that enable the medical professionals to identify even minimal changes with a high level of accuracy. This paper presents the deep learning technique used to predict the heart abnormalities. Deep learning technique helps in processing the image data through various tests which include electrocardiogram, echocardiogram etc., that detects the abnormalities in the heart. © 2022 IEEE.;Deep Learning--Echocardiogram--Heart Disease--Timely Detection;Cardiology--Data handling--Deep learning--Diseases--Electrocardiograms--Learning algorithms--Learning systems--Medical imaging--Condition--Deep learning--Echocardiogram--Heart disease--Large amounts of data--Learning models--Learning techniques--Machine learning models--Machine-learning--Timely detection--Heart;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85132286776
Sharifrazi D.--Alizadehsani R.--Joloudari J.H.--Band S.S.--Hussain S.--Sani Z.A.--Hasanzadeh F.--Shoeibi A.--Dehzangi A.--Sookhak M.--Alinejad-Rokny H.;57222259351--55328861400--57208314874--57221738247--57223086827--36060136500--57220785949--57193554372--23396537700--55520828400--53871090400;CNN-KCL: Automatic myocarditis diagnosis using convolutional neural network combined with k-means clustering;2022;Mathematical Biosciences and Engineering;19;17;10.3934/MBE.2022110;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123456949&doi=10.3934%2fMBE.2022110&partnerID=40&md5=66fd6a1c9305796aa7cde458980ab024;Department of Computer Engineering, School of Technical and Engineering, Shiraz Branch, Islamic Azad University, Shiraz, Iran--Institute for Intelligent Systems Research and Innovation, Deakin University, Geelong, 3216, VIC, Australia--Department of Computer Engineering, Faculty of Engineering, University of Birjand, Birjand, Iran--Future Technology Research Center, College of Future, National Yunlin University of Science and Technology, 123 University Road, Section 3, Douliou, Yunlin, 64002, Taiwan--Dibrugarh University, Assam, 786004, India--Rajaie Cardiovascular Medical and Research Center, Iran University of Medical Sciences, Tehran, Iran--Omid Hospital, Iran University of Medical Sciences, Tehran, Iran--FPGA Laboratory, Faculty of Electrical Engineering, K. N. Toosi University of Technology, Tehran, Iran--Department of Computer Science, Rutgers University, Camden, 08102, NJ, United States--Center for Computational and Integrative Biology, Rutgers University, Camden, 08102, NJ, United States--Department of Computer Science, Texas A & M University at Corpus Christi, Corpus Christi, 78412, TX, United States--BioMedical Machine Learning Lab (BML), The Graduate School of Biomedical Engineering, UNSW Sydney, Sydney, 2052, NSW, Australia--Health Data Analytics Program, AI-enabled Processes (AIP) Research Centre, Macquarie University, Sydney, 2109, Australia;Myocarditis is the form of an inflammation of the middle layer of the heart wall which is caused by a viral infection and can affect the heart muscle and its electrical system. It has remained one of the most challenging diagnoses in cardiology. Myocardial is the prime cause of unexpected death in approximately 20% of adults less than 40 years of age. Cardiac MRI (CMR) has been considered a noninvasive and golden standard diagnostic tool for suspected myocarditis and plays an indispensable role in diagnosing various cardiac diseases. However, the performance of CMR depends heavily on the clinical presentation and features such as chest pain, arrhythmia, and heart failure. Besides, other imaging factors like artifacts, technical errors, pulse sequence, acquisition parameters, contrast agent dose, and more importantly qualitatively visual interpretation can affect the result of the diagnosis. This paper introduces a new deep learning-based model called Convolutional Neural Network-Clustering (CNN-KCL) to diagnose Myocarditis. In this study, we used 47 subjects with a total number of 98,898 images to diagnose myocarditis disease. Our results demonstrate that the proposed method achieves an accuracy of 97.41% based on 10 fold-cross validation technique with 4 clusters for diagnosis of Myocarditis. To the best of our knowledge, this research is the first to use deep learning algorithms for the diagnosis of myocarditis. © 2022 the Author(s), licensee AIMS Press.;Biomedical machine learning--Cardiac MRI--Convolutional neural network--Diagnosis--Myocarditis--Prediction;Adult--Algorithms--Cluster Analysis--Humans--Magnetic Resonance Imaging--Myocarditis--Neural Networks, Computer--Cardiology--Convolution--Deep learning--Diagnosis--Heart--K-means clustering--Learning algorithms--Biomedical machine learning--Cardiac MRI--Convolutional neural network--Heart muscles--Heart wall--K-means++ clustering--Middle layer--Myocarditi--Neural network clustering--Viral infections--adult--algorithm--cluster analysis--diagnostic imaging--human--myocarditis--nuclear magnetic resonance imaging--Convolutional neural networks;American Institute of Mathematical Sciences;35240789;Article;Scopus;2-s2.0-85123456949
Kusuma S.--Jothi K.R.;37117010500--56437678400;Heart disease classification using multiple K-PCA and hybrid deep learning approach;2022;Computer Systems Science and Engineering;41;4;10.32604/csse.2022.021741;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119406315&doi=10.32604%2fcsse.2022.021741&partnerID=40&md5=0a0a6a334f5923080f42ed6031a79651;School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, 632014, India;One of the severe health problems and the most common types of heart disease (HD) is Coronary heart disease (CHD). Due to the lack of a healthy lifestyle, HD would cause frequent mortality worldwide. If the heart attack occurs without any symptoms, it cannot be cured by an intelligent detection system. An effective diagnosis and detection of CHD should prevent human casualties. Moreover, intelligent systems employ clinical-based decision support approaches to assist physicians in providing another option for diagnosing and detecting HD. This paper aims to introduce a heart disease prediction model including phases like (i) Feature extraction, (ii) Feature selection, and (iii) Classification. At first, the feature extraction process is carried out, where the features like a time-domain index, frequency-domain index, geometrical domain features, nonlinear features, WT features, signal energy, skewness, entropy, kurtosis features are extracted from the input ECG signal. The curse of dimensionality becomes a severe issue. This paper provides the solution for this issue by introducing a new Modified Principal Component Analysis known as Multiple Kernel-based PCA for dimensionality reduction. Furthermore, the dimensionally reduced feature set is then subjected to a classification process, where the hybrid classifier combining both Recurrent Neural Network (RNN) and Restricted Boltzmann Machine (RBM) is used. At last, the performance analysis of the adopted scheme is compared over other existing schemes in terms of specific measures. © 2022 CRL Publishing. All rights reserved.;Ecg--Heart disease prediction--Pca--Recurrent neural network--Restricted boltzmann machine;Cardiology--Classification (of information)--Decision support systems--Diseases--Extraction--Feature extraction--Frequency domain analysis--Heart--Higher order statistics--Intelligent systems--Principal component analysis--Recurrent neural networks--Time domain analysis--Coronary heart disease--Disease classification--Features extraction--Healthy lifestyles--Heart attack--Heart disease--Heart disease prediction--Learning approach--Pca--Restricted boltzmann machine--Electrocardiography;Tech Science Press;;Article;Scopus;2-s2.0-85119406315
Fathima M.D.--Samuel S.J.--Natchadalingam R.--Kaveri V.V.;57782887800--56394721600--56433674400--56565591000;Majority voting ensembled feature selection and customized deep neural network for the enhanced clinical decision support system;2022;International Journal of Computers and Applications;44;3;10.1080/1206212X.2022.2069643;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130242379&doi=10.1080%2f1206212X.2022.2069643&partnerID=40&md5=ec45309fece8d8377c87d36b538f723c;Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, India--Department of Computer Science and Engineering, PSN Engineering College, Tamil Nadu, India--Department of Computer Science and Engineering, Sri Krishna College of Engineering and Technology, Coimbatore, India;Heart disease and diabetes are global health issues that affect people worldwide. Diabetes is becoming a significant concern, and Diabetes patients have a substantially higher risk of heart disease morbidity and mortality than people without diabetes. These conditions are associated with hospitalizations and emergency room visits, which raises healthcare expenses. An important strategy to improve health care outcomes and reduce unnecessary costs is to identify and anticipate them in patients. Clinical Decision Support Systems (CDSS) assess patient data from clinical datasets to help disease prediction and enhance treatment options for heart disease and diabetes, and other disorders. According to the literature, most CDSS have used machine learning algorithms for predicting heart disease and diabetes. These algorithms performed worthily, but the accuracy of these machine learning (ML) algorithms is lacking, especially in medical data, which contains numerous complex attributes such as resting blood pressure, serum cholesterol, fasting blood sugar, and thalassemia value. This proposed work developed a majority voting ensembled feature selection (MVEFS) technique and customized deep neural network (CDNN) to develop a CDSS for heart disease and diabetes prediction. This deep neural network-based CDSS best performing than ML-based CDSS. There are several input attributes in the clinical dataset. Some attributes are not associated with disease and have negative consequences when used in clinical data analysis for disease prediction. As a result, feature selection is essential for removing unimportant features. The feature selection significantly minimizes system learning time, which improves CDSS performance efficacy. The MVEFS selects the associated heart disease and diabetes-related features from the clinical dataset. The classifier execution time, accuracy, sensitivity, precision, specificity, and F1-score are the performance metrics used to evaluate the proposed CDSS. According to our experimental study, the MVEFS with a customized deep neural network is more appropriate for predicting heart and diabetes than machine learning algorithms. © 2022 Informa UK Limited, trading as Taylor & Francis Group.;Customized deep neural network--diabetes prediction--heart disease prediction--majority voting ensembled feature selection;Blood--Blood pressure--Cardiology--Decision support systems--Deep neural networks--Diseases--Feature Selection--Hospital data processing--Learning algorithms--Learning systems--Patient treatment--Clinical decision support systems--Customized deep neural network--Diabetes prediction--Features selection--Global health--Health issues--Heart disease--Heart disease prediction--Machine learning algorithms--Majority voting ensembled feature selection--Forecasting;Taylor and Francis Ltd.;;Article;Scopus;2-s2.0-85130242379
Malviya S.--Malviya N.;36025756100--12794435700;Advancement of Artificial Intelligence in various segments of Pharmaceuticals and Epidemics: A Bright Future Ahead;2022;Pharma Times;54;2;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133311911&partnerID=40&md5=6bc58238009be817c2ca931dce4dc352;Modern Institute of Pharmaceutical Sciences, Indore, India--Smriti College of Pharmaceutical Education, Indore, India;The advancement of Artificial intelligence (AI) is found to have dual appearances as it can create the betterment of society and can threaten employment. AI is the automating process which has led to innovation in various educational methods as well as automated business procedures. Major disease areas that use AI tools include cancer, neurology and cardiology. The emergent idea of adopting AI in the drug development process has shifted from hype to hope. AI chains the decision-making processes for prevailing drugs & expanded treatments for other conditions, as well as accelerates the clinical trials procedure by finding the right patients from a number of data sources. Integrating AI into the healthcare ecosystem allows for a multitude of benefits, including automating tasks and analysing big patient data sets to deliver better healthcare faster, and at a lower cost. Machine learning, deep learning and Artificial Intelligence can be utilised to revolutionise the drug development process. At present, the main concern of the Pharmaceutical industry is drug development programmes because of increased R&D costs and reduced efficiency. In this review, we will discuss the applications and role of AI and the possible ways it can advance the effectiveness of the drug development process. © 2022, Indian Pharmaceutical Association. All rights reserved.;Artificial Intelligence--drug development process--healthcare system--pharmaceutical industry;biological factor--favipiravir--Article--artificial intelligence--awareness--cardiology--coronavirus disease 2019--decision making--deep learning--drug design--drug industry--drug metabolism--drug repositioning--employment--epidemic--health care--health care personnel--health care system--heart disease--hospital management--human--kidney disease--lifestyle--machine learning--measurement accuracy--mental health--metabolic disorder--neoplasm--neurology--omics--pandemic--patient care--personalized medicine--pharmacist--physician--professional practice--respiratory tract disease--statistics;Indian Pharmaceutical Association;;Article;Scopus;2-s2.0-85133311911
